issue_id	linked_record_id	field	issue	searched_evidence	required_resolution	priority
U001	FORMAL_ARTIFACTS	formal manuscript .tex	Formal LaTeX source was not found.	repository, parent workspace, and prior bibliography inventory	Provide actual compilation directory and rerun occurrence scan.	CRITICAL
U002	FORMAL_ARTIFACTS	formal sn-bibliography.bib	Only candidate audit BibTeX files exist.	repository and prior full-user-profile inventory	Provide the compiled bibliography and run key-level conflict audit.	CRITICAL
U003	FORMAL_ARTIFACTS	formal dataset manifest	No unified formal dataset manifest is present; dispersed experiment manifests are not equivalent.	repository manifest/provenance/accession search	Create and freeze a formal manifest only after this audit is reviewed.	CRITICAL
U004	LR03_BRCA_FFPE;LR04_BRCA_FF;LR05_BRCA_ILC	historical hECA breast export lineage	The current public hECA project export and source study are identified, but the historical local file lacks a preserved byte-for-byte merge/checksum manifest.	local h5ad metadata, current hECA/Zenodo records, prior source audit	Recover the original export/merge log or describe the reference as a curated hECA export without overclaiming exact component provenance.	MAJOR
U005	LR06_CERVICAL	healthy uterus composite contributing cells	Source studies are documented, but exact contributing-cell/accession membership of the local historical export is incomplete.	local h5ad, hECA metadata, prior source audit	Recover a cell-level source manifest.	MAJOR
U006	LR08_INTESTINE	healthy intestine composite contributing cells	Source studies are documented, but exact contributing-cell/accession membership of the local historical export is incomplete.	local h5ad, hECA metadata, prior source audit	Recover a cell-level source manifest.	MAJOR
U007	MERS01_BREAST;MERS02_COLON;MERS03_LUNG;MERS04_MELANOMA1;MERS05_MELANOMA2	Vizgen redistribution and stable per-sample URL	Provider release and release sample IDs are confirmed, but repository lacks preserved license text and stable per-sample download URLs/checksums.	Vizgen provider page, raw local files, high-resolution manifest	Archive provider terms and original download receipt/URL/checksum before Data availability is finalized.	MAJOR
U008	CTA01_BCSA2TUMB1	Visium chemistry/version and slide/capture area	CTA paper confirms frozen Visium sections but does not expose the exact chemistry version or slide serial/capture area for BCSA2TumB1 in the evidence currently present.	CTA paper, processed data, local endpoint manifests	Recover sample sheet or raw Space Ranger metadata.	MAJOR
U009	RD03_TNBC_PLASMA	CID4465 slide and capture area	CID4465 identity and Zenodo source are confirmed, but slide serial/capture area are not exposed.	Zenodo 4739739, local data, prior source audit	Leave fields unresolved unless primary metadata is recovered.	MINOR
U010	RD04_CRC_B	colorectal slide serial	Formal 10x release and capture area C1 are confirmed, but slide serial is not.	10x dataset page, local input, prior source audit	Leave slide serial unresolved unless provider metadata is recovered.	MINOR
U011	SIM03_HUMAN_LUNG	run accession	ERS20065156 is a sample accession and no linked run accession was recovered from the ENA read-run query.	ENA sample XML and read-run query	Do not invent a run accession; report project, study, sample and BioSample identifiers only.	MAJOR
