object_path,string_value,matched_terms,path_exists,resembles_missing_path,identifies_original_spatial_bundle,can_identify_original_spatial_bundle
bcsa$name,Spatial,spatial,False,False,True,True
bcsa$name,BCSA2TumB1,BCSA|Tum|TumB1,False,False,False,False
bcsa@assays$name,Spatial,spatial,False,False,True,True
bcsa@assays$Spatial@key[1],spatial_,spatial,False,False,True,True
bcsa@meta.data$name,nCount_Spatial,spatial,False,False,True,True
bcsa@meta.data$name,nFeature_Spatial,spatial,False,False,True,True
bcsa@meta.data$name,spaceranger_clusters,SpaceRanger|spaceranger,False,False,True,True
bcsa@meta.data$colname,nCount_Spatial,spatial,False,False,True,True
bcsa@meta.data$colname,nFeature_Spatial,spatial,False,False,True,True
bcsa@meta.data$colname,spaceranger_clusters,SpaceRanger|spaceranger,False,False,True,True
bcsa@meta.data$orig.ident,BCSA2TumB1,BCSA|Tum|TumB1,False,False,False,False
bcsa@meta.data$type,tumor,Tum,False,False,False,False
bcsa@active.assay[1],Spatial,spatial,False,False,True,True
bcsa@images$name,BCSA2TumB1,BCSA|Tum|TumB1,False,False,False,False
bcsa@images$BCSA2TumB1@scale.factors$name,hires,hires,False,False,False,False
bcsa@images$BCSA2TumB1@scale.factors$name,lowres,lowres,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$name,tissue,tissue,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$name,imagerow,image,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$name,imagecol,image,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$colname,tissue,tissue,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$colname,imagerow,image,False,False,False,False
bcsa@images$BCSA2TumB1@coordinates$colname,imagecol,image,False,False,False,False
bcsa@images$BCSA2TumB1@assay[1],Spatial,spatial,False,False,True,True
bcsa@images$BCSA2TumB1@key[1],bcsa2tumb1_,BCSA|Tum|TumB1,False,False,False,False
