check_id	methods_definition	code_implementation	match_status	difference	impact	recommended_manual_wording	evidence_path
MC001	minimise ||x_i - w_i B||_2^2	nnls(B.T, x_i) minimises ||B.T w_i - x_i||_2	PASS	Equivalent column-vector orientation.	none	State the matrix orientation explicitly if desired.	src/stages/stage3b_st_unsupported.py:L192-L196
MC002	w_i >= 0	SciPy NNLS enforces nonnegative coefficients	PASS	No post-hoc clipping substitutes for the constraint.	none	Name scipy.optimize.nnls as the constrained solver.	src/stages/stage3b_st_unsupported.py:L27,L196
MC003	one coefficient vector per spot	Python loop calls nnls once for each observation row	PASS	Not batched.	runtime scales with number of spots	Describe fitting as per-spot NNLS.	src/stages/stage3b_st_unsupported.py:L193-L196
MC004	if sum(w_i)>0, w_hat_i=w_i/sum(w_i)	total=coef.sum(); coef/=total only when total>0	PASS	none	none	Retain the conditional sum normalisation statement.	src/stages/stage3b_st_unsupported.py:L197-L200
MC005	otherwise w_hat_i=zero vector	preallocated zeros remain unchanged when total<=0	PASS	No explicit else branch, but behavior is exact.	none	State that zero solutions remain zero.	src/stages/stage3b_st_unsupported.py:L193-L200
MC006	x_hat_i=w_hat_i B	reconstruction[i]=coef@profiles after coefficient normalisation	PASS	none	none	Retain the stated reconstruction formula.	src/stages/stage3b_st_unsupported.py:L200-L201
MC007	residual_i=x_i-x_hat_i	residual=observations-reconstruction	PASS	none	none	Retain the stated residual formula.	src/stages/stage3b_st_unsupported.py:L205-L210
MC008	no intercept in the stated objective	nnls receives only B.T and x_i; no intercept column or centering term	PASS	none	none	State that the model is fit without an intercept.	src/stages/stage3b_st_unsupported.py:L192-L196
MC009	no regularisation in the stated objective	no penalty term or augmented design is used	PASS	none	none	Do not describe ridge, lasso or other regularisation.	src/stages/stage3b_st_unsupported.py:L188-L202
MC010	solver tolerance	SVTuner passes neither tolerance nor maxiter	PASS_WITH_DEFAULTS	Tolerance is solver-version internal/default; SciPy 1.11.4 and 1.15.3 are both retained formal versions.	Version-specific numerical details can differ slightly.	Say that solver defaults were used; do not claim a custom tolerance.	src/stages/stage3b_st_unsupported.py:L196
MC011	solver failure handling	no fallback or local exception recovery; RuntimeError propagates	PASS_WITH_IMPLEMENTATION_DETAIL	Methods definition does not specify operational failure behavior.	A failed solve aborts the formal Stage3B run rather than silently substituting coefficients.	State no fallback was used; failed solves were not silently imputed.	src/stages/stage3b_st_unsupported.py:L188-L202
MC012	x_i and B are fitted profiles	SC and ST values are linearised, row-composition normalised, and type profiles are row-normalised before fitting	PASS_WITH_PREPROCESSING_CONTEXT	The compact equation omits preprocessing detail.	Readers need preprocessing context to reproduce exact inputs.	Define x_i and B as compositional profiles after the documented linearisation/normalisation.	src/stages/stage3b_st_unsupported.py:L123-L185,L691-L705
MC013	formal outputs originate from this implementation	formal logs and BioApp summary invoke src.stages.stage3b_st_unsupported and complete successfully	PASS	none	none	Link the implementation and environment versions in Methods/software reporting.	visualizations/method_comparison/composite_scnoise10_stage3ab_full/execution_logs/real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10_stage3b.log;logs/cytospace_fig2j_stage3ab_upgrade/cytospace_fig2j_stage3ab_joint.stage3b.log;visualizations/bioapp_experiment/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/bioapp_phase7_svtuner_aware_execution_summary.json
