script_id,script_path,phase,inputs_detected,outputs_detected,coordinate_columns_read,coordinate_columns_written,barcode_columns_read,barcode_columns_written,tissue_positions_read,scalefactors_read,tissue_image_read,coordinate_transform_detected,transform_type,relevant_code_lines_or_snippets,notes
script_001,scripts/run_bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit.py,BioApp Figure V2.5,README.md|bioapp_phase8_golden_rules_v2_1_check.json|bioapp_v2_5_candidate_decision_table.csv|bioapp_v2_5_downloaded_bundle_audit.csv|bioapp_v2_5_guardrails.json|bioapp_v2_5_local_spatial_bundle_audit.csv|bioapp_v2_5_online_source_audit.csv|bioapp_v2_5_recommended_next_step.md|endpoint_definition.json|fig_bioapp_v2_visualization_guardrails.json|gene_count_audit.json|https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/CytAssist_FFPE_Human_Breast_Cancer/CytAssist_FFPE_Human_Breast_Cancer_filtered_feature_bc_matrix.h5|scalefactors_json.json|spot_level_endpoint_freeze.csv|tissue_positions.csv|tissue_positions_list.csv,.png|bioapp_phase8_svtuner_vs_endpoint_evaluation_summary.json|bioapp_phase9_final_audit_summary.json|bioapp_v2_5_barcode_overlap_report.csv|bioapp_v2_5_coordinate_alignment_report.csv|bioapp_v2_5_current_coordinate_provenance_report.json|bioapp_v2_5_online_he_provenance_audit_summary.json|fig_bioapp_tissue_alignment_report.json|fig_bioapp_tissue_image_search_report.json|tissue_hires_image.png|tissue_lowres_image.png,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,barcode,barcode,True,True,True,True,affine|scale,"L95: scalefactors_json: Path | None || L96: tissue_positions: Path || L160: def read_tissue_positions(path: Path) -> pd.DataFrame: || L170: elif c in {""pxl_row_in_fullres"", ""imagerow"", ""pixel_y"", ""y""}: || L172: elif c in {""pxl_col_in_fullres"", ""imagecol"", ""pixel_x"", ""x""}: || L183: raise ValueError(f""Header tissue_positions lacks required coordinate columns: {path}"") || L188: raise ValueError(f""Old-format tissue_positions has fewer than 6 columns: {path}"") || L239: positions = read_tissue_positions(candidate.tissue_positions) || L241: m = frozen[[""barcode"", ""imagecol"", ""imagerow""]].merge( || L252: src = m[[""imagecol"", ""imagerow""]].to_numpy(dtype=float)",
script_002,scripts/run_bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit.py,,".RData|.csv|.h5|.h5ad|.json|.md|.txt|Phase 2C script keep_cols and spot_level_endpoint_freeze.csv|README.md|ST_data.RData|Transformed / registered Visium coordinates from processed Seurat ST_data.RData image slot|`  ## Are These Original Space Ranger Image Coordinates?  Not proven. The coordinates are stored in a processed Seurat object image slot (`BCSA2TumB1`) and were|`  ## Evidence  Phase 2B-R2 parsed `ST_data.RData` as a Seurat object named `bcsa` and selected image slot `BCSA2TumB1`. The exported coordinate table contains |`  ## Space Ranger Bundle Status  No local or downloaded official `spatial/` bundle was proven to be the original source of `ST_data.RData` / `BCSA2TumB1`. Ther|bioapp_phase2br2_st_data_coordinates.csv + bioapp_phase2br2_cta_to_spot_mapping_example.csv|bioapp_phase2br2_st_data_object_inventory.json|bioapp_phase2br2_st_data_object_inventory.json and script constants SCALING_FACTOR=0.3, IMAGE_NAME=BCSA2TumB1|bioapp_v2_6_candidate_spatial_bundle_comparison.csv|bioapp_v2_6_coordinate_column_audit.csv|bioapp_v2_6_coordinate_recovery_decision.md|bioapp_v2_6_guardrails.json|bioapp_v2_6_provenance_graph_edges.csv|bioapp_v2_6_script_lineage_table.csv|bioapp_v2_6_spot_level_file_inventory.csv|data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData|scalefactors_json.json|spot_level_endpoint_freeze.csv|spot_level_endpoint_freeze.csv + svtuner_endpoint_score_by_spot.csv|tissue_positions.csv|tissue_positions_list.csv|visualizations/bioapp_phase2br2_explicit_rscript_cta_align_locale_safe_dry_run/_ascii_runtime/ST_data.RData|visualizations/bioapp_phase2br2_explicit_rscript_cta_align_locale_safe_dry_run/bioapp_phase2br2_st_data_coordinates.csv|visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/spot_level_endpoint_freeze.csv|visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/svtuner_endpoint_score_by_spot.csv",.pdf|.png|.svg|Not accepted: barcode/array/image similarity alone is insufficient without provenance to ST_data.RData/BCSA2TumB1 source.|bioapp_v2_5_online_he_provenance_audit_summary.json|bioapp_v2_6_coordinate_provenance_summary.json|bioapp_v2_6_first_coordinate_source_report.md|bioapp_v2_6_registration_file_search_report.csv|tissue_hires_image.png|tissue_lowres_image.png,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,barcode,barcode,True,True,True,True,affine|scale|scaling_factor|rotate|flip|translation|homography|crop,"L31: ""imagecol"", || L32: ""imagerow"", || L35: ""pxl_col_in_fullres"", || L36: ""pxl_row_in_fullres"", || L162: ""imagecol"", || L163: ""imagerow"", || L164: ""pxl_col_in_fullres"", || L165: ""pxl_row_in_fullres"", || L176: if lc in keys or any(k in lc for k in [""imagecol"", ""imagerow"", ""pxl_col"", ""pxl_row""]): || L272: if df is not None and {""imagecol"", ""imagerow""}.issubset(df.columns):",
script_003,scripts/run_bioapp_main_figure_layout_only_spatial_visualization.py,BioApp Figure V1,README.md|baseline_svtuner_endpoint_comparison_by_spot.csv|binary_withheld_endpoint_contingency.csv|bioapp_phase9_interpretation_boundary_lock.json|fig_bioapp_palette.json|fig_bioapp_visualization_guardrails.json|spot_level_endpoint_freeze.csv|svtuner_endpoint_score_by_spot.csv|withheld_pr_curve.csv|withheld_roc_curve.csv,# BioApp main figure layout-only spatial visualization  BioApp main figure layout-only spatial visualization completed.  Decision: PASS Main figure: fig_bioapp_|%  ## Palette  See `fig_bioapp_palette.json`.  ## Figure Triage  - Main figure: `fig_bioapp_main_composite` - Supplementary metric summary - Supplementary distr|.png|bioapp_phase8_svtuner_vs_endpoint_evaluation_summary.json|bioapp_phase9_final_audit_summary.json|fig_bioapp_layout_report.md|fig_bioapp_main_composite.pdf|fig_bioapp_main_composite.png|fig_bioapp_main_composite.svg,imagecol|imagerow,imagecol|imagerow,barcode,barcode,False,False,True,True,scale|crop,"L98: df = endpoint[[""barcode"", ""imagecol"", ""imagerow"", ""primary_endpoint_status""]].merge(scores, on=[""barcode"", ""primary_endpoint_status""], how=""inner"") || L124: ax.scatter(df[""imagecol""], df[""imagerow""], c=PALETTE[""non_analysis_spot""], s=s, lw=0, alpha=alpha, zorder=1) || L129: ax.scatter(df.loc[pos, ""imagecol""], df.loc[pos, ""imagerow""], c=PALETTE[""endpoint_positive""], s=s, lw=0, alpha=0.9, zorder=4) || L132: df.loc[pos, ""imagecol""], || L133: df.loc[pos, ""imagerow""], || L144: xmin, xmax = df[""imagecol""].min() - pad, df[""imagecol""].max() + pad || L145: ymin, ymax = df[""imagerow""].min() - pad, df[""imagerow""].max() + pad || L155: width = (df[""imagecol""].max() - df[""imagecol""].min()) * 0.28 || L156: height = (df[""imagerow""].max() - df[""imagerow""].min()) * 0.28 || L160: cx, cy = row[""imagecol""], row[""imagerow""]",
script_004,scripts/run_bioapp_main_figure_v2_tissue_overlay_refinement.py,BioApp Figure V2,README.md|fig_bioapp_v2_visualization_guardrails.json|scalefactors_json.json|spot_level_endpoint_freeze.csv|tissue_positions.csv|tissue_positions_list.csv, Main figure V2: fig_bioapp_main_composite_v2.pdf Layout-only optimization: true Data changed: false Metrics changed: false Endpoint redefined: false Next: manu|.pdf|.png|.svg|fig_bioapp_tissue_alignment_report.json|fig_bioapp_tissue_image_search_report.json|fig_bioapp_v2_layout_report.md|tissue_hires_image.png|tissue_lowres_image.png,imagecol|imagerow,imagecol|imagerow,barcode,barcode,True,True,True,True,scale|crop,"L58: if name in {""scalefactors_json.json"", ""tissue_positions.csv"", ""tissue_positions_list.csv""}: || L73: sf = sdir / ""scalefactors_json.json"" || L74: pos = sdir / ""tissue_positions.csv"" || L76: pos = sdir / ""tissue_positions_list.csv"" || L87: m = endpoint[[""barcode"", ""imagecol"", ""imagerow""]].merge(tmp, on=""barcode"") || L90: rmse_col = float(np.sqrt(np.mean((m[""imagecol""] - m[""pxl_col""]) ** 2))) || L91: rmse_row = float(np.sqrt(np.mean((m[""imagerow""] - m[""pxl_row""]) ** 2))) || L96: ""scalefactors_json"": rel(sf) if sf.exists() else None, || L97: ""tissue_positions"": rel(pos), || L99: ""rmse_imagecol_to_tissue_col"": rmse_col,",
script_005,scripts/run_bioapp_phase0_external_endpoint_admission.py,BioApp Phase 0,- bioapp_phase0_candidate_dataset_table.csv|- bioapp_phase0_decision.txt|- bioapp_phase0_golden_rules_check.json|- bioapp_phase0_readme.txt|- bioapp_phase0_rejected_candidates.csv|- bioapp_phase0_tier1_candidates.csv|- bioapp_phase0_tier2_candidates.csv|bioapp_phase0_candidate_dataset_table.csv|bioapp_phase0_decision.txt|bioapp_phase0_golden_rules_check.json|bioapp_phase0_readme.txt|bioapp_phase0_rejected_candidates.csv|bioapp_phase0_tier1_candidates.csv|bioapp_phase0_tier2_candidates.csv,- bioapp_phase0_endpoint_admission_report.txt|- bioapp_phase0_summary.json|bioapp_phase0_endpoint_admission_report.txt|bioapp_phase0_summary.json,,,,,False,False,False,False,,,
script_006,scripts/run_bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop.py,BioApp Phase 0r,,,,,,,False,False,False,False,,,
script_007,scripts/run_bioapp_phase1_janesick_feasibility_and_prior_risk_gate.py,BioApp Phase 1,bioapp_phase1_decision.txt|bioapp_phase1_golden_rules_check.json|bioapp_phase1_janesick_data_inventory.csv|bioapp_phase1_minimal_download_plan.csv|bioapp_phase1_prior_risk_gate.csv|bioapp_phase1_readme.txt|bioapp_phase1_sample_matching_table.csv|tissue_positions.csv / spatial metadata,bioapp_phase0_summary.json|bioapp_phase1_endpoint_feasibility_report.txt|bioapp_phase1_mapping_feasibility_report.txt|bioapp_phase1_prior_risk_gate_report.txt|bioapp_phase1_sample_matching_report.txt|bioapp_phase1_summary.json,,,,,True,True,False,True,scale|flip|crop,"L217: ""tissue_positions.csv / spatial metadata"",",
script_008,scripts/run_bioapp_phase1_pathology_endpoint_and_mapping_feasibility_gate.py,BioApp Phase 1,"Processed Visium Seurat object / ST_data.RData / expression matrix|Processed Visium spatial data and ST_data.RData workflow are described.|README / File_list.csv / sample metadata / SND_metadata.xlsx / md5sum|README, File_list.csv, SND_metadata.xlsx, md5sum.txt|bioapp_phase0r_recommended_candidates.csv|bioapp_phase1_decision.txt|bioapp_phase1_endpoint_independence_audit.csv|bioapp_phase1_endpoint_spot_definability_table.csv|bioapp_phase1_formal_mapping_feasibility_table.csv|bioapp_phase1_golden_rules_v2_1_check.json|bioapp_phase1_minimal_download_plan.csv|bioapp_phase1_pathology_data_inventory.csv|bioapp_phase1_readme.txt|bioapp_phase1_sample_matching_table.csv",CTA_output.txt / QuPath detection measurements|CTA_output.txt or spot-level CTA annotation output for one selected sample|bioapp_phase0r_summary.json|bioapp_phase1_endpoint_independence_audit_report.txt|bioapp_phase1_endpoint_spatial_registration_report.txt|bioapp_phase1_formal_mapping_feasibility_report.txt|bioapp_phase1_risk_report.txt|bioapp_phase1_sample_matching_report.txt|bioapp_phase1_summary.json,,,barcode,barcode,False,False,False,True,scale,,
script_009,scripts/run_bioapp_phase2_cta_endpoint_spatial_registration_and_endpoint_freeze.py,BioApp Phase 2,README.md|ST_data.RData or processed Visium object|bioapp_phase2_cta_endpoint_provenance_table.csv|bioapp_phase2_decision.txt|bioapp_phase2_endpoint_definition.json|bioapp_phase2_endpoint_spot_labels.csv|bioapp_phase2_endpoint_statistics.csv|bioapp_phase2_golden_rules_v2_1_check.json|bioapp_phase2_readme.txt|bioapp_phase2_sample_barcode_matching_table.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*.RData|data/raw/bioapp_phase2_cta_minimal_sources/**/*CTA*spot*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*align*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*coordinates*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*spatial*coordinates*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*spot*barcode*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*tissue_positions*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/ST_data.RData,CTA_output.txt or equivalent|Yes. README states CTA_output.txt can be obtained from QuPath detection measurements after classifier training.|bioapp_phase1_summary.json|bioapp_phase2_cta_endpoint_provenance_report.txt|bioapp_phase2_endpoint_freeze_manifest.json|bioapp_phase2_endpoint_freeze_report.txt|bioapp_phase2_endpoint_statistics_report.txt|bioapp_phase2_file_acquisition_manifest.csv|bioapp_phase2_sample_barcode_matching_report.txt|bioapp_phase2_summary.json|data/raw/bioapp_phase2_cta_minimal_sources/**/*CTA*output*.csv|data/raw/bioapp_phase2_cta_minimal_sources/**/*CTA*output*.txt|data/raw/bioapp_phase2_cta_minimal_sources/**/CTA_output.txt,pxl_col_in_fullres|pxl_row_in_fullres,pxl_col_in_fullres|pxl_row_in_fullres,barcode,barcode,True,False,False,False,,"L98: ""data/raw/bioapp_phase2_cta_minimal_sources/**/*tissue_positions*.csv"", || L345: ""pxl_col_in_fullres"", || L346: ""pxl_row_in_fullres"",",
script_010,scripts/run_bioapp_phase2a_minimal_cta_to_spot_and_visium_coordinate_acquisition.py,BioApp Phase 2a,,,,,barcode,barcode,True,False,False,False,,"L187: ""tissue_positions.csv / spatial coordinates CSV"", || L189: ""data/raw/bioapp_phase2_cta_minimal_sources/**/*tissue_positions*.csv"", || L320: ""3. selected-sample Visium spot coordinates / tissue_positions.csv"",",
