release_item_id	category	project_relative_path	sha1	bytes	archive_status	provenance	notes
T4E-CLOSURE-001	RESTORED_FORMAL_PLOT_SCRIPT	scripts/plot_fig2d_profile_mask_benchmark.py	4aea32d696bd5f87cf5e1f9019671c61e3bf0c07	6949	VERIFIED_AND_INCLUDED	local Git commit 76cc0288fbd10b870f6d56d06d81e91e70cd0eb3	Working-tree bytes are identical to the local-history blob; no overwrite was required.
T4E-CLOSURE-002	AUDIT_GENERATOR	scripts/run_task4e_fig2_enrichment_backend_audit.py	9e4ecf094c4df8fdf82a6258f2a40d6ef135eb37	46415	INCLUDED	Task 4E local static audit	Read-only audit generator; not an experimental runner.
T4E-AUDIT-001	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/README.md	edde551f6ac0abd7b53f8439bd8699f53fb8fccf	2450	INCLUDED	Task 4E audit directory	Audit scope, decision and panel conclusions.
T4E-AUDIT-002	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/audit_summary.json	ab8582007fc0db200bae3c2a1052325da0b0a7d7	4593	INCLUDED	Task 4E audit directory	Machine-readable audit summary and guardrails.
T4E-AUDIT-003	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/backend_decision_by_panel.tsv	28e0d850a7f3931a500b1257d688a8f675ffa803	4384	INCLUDED	Task 4E audit directory	Backend decision for Fig. 2b, 2c, 2d and 2f.
T4E-AUDIT-004	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/enrichment_backend_inventory.tsv	13f0d9592725872cb2dad0ecd49c1021651c8bd5	4049	INCLUDED	Task 4E audit directory	Candidate and formal backend implementation inventory.
T4E-AUDIT-005	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/fig2_panel_execution_chain.tsv	957b3abce507286c31d51ec2d7b11a369d030472	4994	INCLUDED	Task 4E audit directory	Panel-level source and execution chain.
T4E-AUDIT-006	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/final_decision.md	661b408c62c3892b6be6aabc9e5a2a071f3ba154	2000	INCLUDED	Task 4E audit directory	Formal closure decision.
T4E-AUDIT-007	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/formal_fig2_source_value_inventory.tsv	83c628e4995c75858aff28ecd15bfe7e35902e4f	4546	INCLUDED	Task 4E audit directory	Formal source-value and figure hash inventory.
T4E-AUDIT-008	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/formal_log_and_command_evidence.tsv	3d212618a5b48c38e8f18444b5fc7e48405a2368	1684	INCLUDED	Task 4E audit directory	Retained command, log and output-fingerprint evidence.
T4E-AUDIT-009	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/formal_source_value_consistency.tsv	ff5b383a3345466372a775a3968d5c5423f860d3	5030	INCLUDED	Task 4E audit directory	Eighteen formal source-value consistency checks.
