check_id	manuscript_fact_group	manuscript_fact	manifest_record_id	manifest_value	match_status	severity	recommended_action	evidence_paths
REC001	A1 BRCA joint simulation	SIM01_BRCA.internal_id = real_brca	SIM01_BRCA	real_brca	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC002	A1 BRCA joint simulation	SIM01_BRCA.spatial_resource = public 10x Visium FFPE human breast cancer	SIM01_BRCA	public 10x Visium FFPE human breast cancer	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC003	A1 BRCA joint simulation	SIM01_BRCA.block = 738811QB	SIM01_BRCA	738811QB	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC004	A1 BRCA joint simulation	SIM01_BRCA.section = 1	SIM01_BRCA	1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC005	A1 BRCA joint simulation	SIM01_BRCA.slide = V11J26-008	SIM01_BRCA	V11J26-008	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC006	A1 BRCA joint simulation	SIM01_BRCA.capture_area = B1	SIM01_BRCA	B1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC007	A1 BRCA joint simulation	SIM01_BRCA.reference_resource = Wu breast-cancer atlas	SIM01_BRCA	Wu breast-cancer atlas	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC008	A1 BRCA joint simulation	SIM01_BRCA.reference_accession = GSE176078	SIM01_BRCA	GSE176078	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC009	A1 BRCA joint simulation	SIM01_BRCA.reference_subset = HER2-positive single-cell subset	SIM01_BRCA	HER2-positive single-cell subset	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC010	A1 BRCA joint simulation	SIM01_BRCA.simulation_truth = project generated	SIM01_BRCA	project generated	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC011	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.internal_id = human_lung_5loc	SIM03_HUMAN_LUNG	human_lung_5loc	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC012	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.formal_spatial_sample = WSA_LngSP10193345	SIM03_HUMAN_LUNG	WSA_LngSP10193345	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC013	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.ena_sample_accession = ERS20065156	SIM03_HUMAN_LUNG	ERS20065156	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC014	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.biosample = SAMEA115633909	SIM03_HUMAN_LUNG	SAMEA115633909	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
