record_id	coverage_group	source_path	candidate_path	formal_role	generator	row_count	byte_size	sha1	coverage_status	redistribution_class	notes
SV-0001	Fig. 1 simulation values	visualizations/simulations/composite_stage3a_stage3b_recheck.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0001_composite_stage3a_stage3b_recheck.csv	joint simulation Stage3A/Stage3B audit values	scripts/evaluate_stage3b_simulation.py	9	2652	36103b5c9aa4c2073224929d107e803175320610	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0002	Fig. 1 simulation values	visualizations/simulations/simulation_stage3ab_joint_triptych_overview_stack_3datasets.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0002_simulation_stage3ab_joint_triptych_overview_stack_3datasets.json	simulation overview manifest	scripts/export_simulation_stage3ab_joint_overview.py		2735	161a23c97c7e8f277ef58d587ba178a913a22cdc	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0003	Fig. 1 no-noise results	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_cell_type.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0003_composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_cell_type.csv	no-noise whole-space evaluation source values	scripts/plot_method_comparison_composition_recovery.py	540	69242	8d2923824778a6fc8d5ce1a289b3116fd1bc5978	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0004	Fig. 1 no-noise results	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_scenario.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0004_composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_scenario.csv	no-noise whole-space evaluation source values	scripts/plot_method_comparison_composition_recovery.py	81	11550	5c556f8a131b597a06c53ccf5527d6187d96e521	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0005	Fig. 1 no-noise results	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_summary.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0005_composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_summary.csv	no-noise whole-space evaluation source values	scripts/plot_method_comparison_composition_recovery.py	9	549	6a763fd1959848b72f798c853d85a7734cb24e8e	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0006	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_blank_summary.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0006_composite_scnoise10_stage3ab_full_blank_summary.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	1491	d55836c81ab16b9fb90e4cda5d8c8f65df74e9e0	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0007	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_cell_type_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0007_composite_scnoise10_stage3ab_full_cell_type_values.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	540	73426	1bcd1a679dfdd37f2b1ce9fb62eb0e91374b82a6	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0008	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_input_audit.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0008_composite_scnoise10_stage3ab_full_input_audit.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	36	26001	dadc63c1427c1a63fc8a096c08dbdb11bd0855bf	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0009	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_method_summary.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0009_composite_scnoise10_stage3ab_full_method_summary.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	547	e03120b4b37f6fc0a580a60ded5c8f01ee6fe51a	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0010	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_paired_comparison.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0010_composite_scnoise10_stage3ab_full_paired_comparison.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	11	2500	ab15ccf62f0b1ced9e78ffbf95661a21be83fa6c	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0011	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_reused_method_audit.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0011_composite_scnoise10_stage3ab_full_reused_method_audit.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	54	45108	3d4a97b5b9e34dafc008be618ab6348c242ca282	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0012	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_scenario_manifest.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0012_composite_scnoise10_stage3ab_full_scenario_manifest.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	9994	65d5d25e770af6c43bde0464208b4c11aaca2e95	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0013	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0013_composite_scnoise10_stage3ab_full_source_values.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	81	23506	90eed5e77de233e6552f46f7763e256bf276b616	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0014	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_stage3a_audit.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0014_composite_scnoise10_stage3ab_full_stage3a_audit.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	10480	24e37891a68d7a0915235aab519eb8c257bfcb53	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
