experiment_id	dataset_family	figure_panel	manuscript_result_section	spatial_input_record_id	reference_input_record_id	evaluation_resource_record_id	profile_mask_target	reference_dropout_target	project_derivative	formal_status	status_basis	unresolved_issue_id	notes	experiment_record_id	dataset_record_id	experiment_family	formal_experiment_name	internal_experiment_id	spatial_input_record	reference_input_record	reference_condition	decoy_population	stage3a_enabled	stage3b_enabled	stage4_enabled	mapping_backend	mapping_capacity	shared_gene_rule	random_seed	formal_config_path	formal_config_sha1	formal_input_paths	formal_input_sha1s	formal_output_paths	formal_output_sha1s	source_value_paths	source_value_sha1s	redistribution_class	provenance_status	evidence_paths	candidate_status
adult_mouse_kidney_real_profile_mask_endo	low-resolution profile masking	Fig. 2A-B/E	Low-resolution profile masking	LR01_KIDNEY	LR01_KIDNEY		Endo		project-generated masked profile	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			adult_mouse_kidney_real_profile_mask_endo	LR01_KIDNEY	low-resolution profile masking	Low-resolution profile masking: adult_mouse_kidney_real_profile_mask_endo	adult_mouse_kidney_real_profile_mask_endo	LR01_KIDNEY	LR01_KIDNEY	profile masking: Endo		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/adult_mouse_kidney_real_profile_mask_endo.yaml	b4329a8ff2880f61fd7c8180dfb23e7467487768	data/raw/low_resolution/Adult Mouse Kidney/Visium_FFPE_Mouse_Kidney_filtered_feature_bc_matrix.h5;data/raw/low_resolution/Adult Mouse Kidney/adata.h5ad	data/raw/low_resolution/Adult Mouse Kidney/Visium_FFPE_Mouse_Kidney_filtered_feature_bc_matrix.h5=020f67a4885cb0553de3e3233f647b2140dacd1b;data/raw/low_resolution/Adult Mouse Kidney/adata.h5ad=bbd810fe55a848b63000c8d14f2746bbf5a7d60b	result/low_resolution_experiments/adult_mouse_kidney_real_profile_mask_endo/stage1_preprocess/stage1_summary.json;result/low_resolution_experiments/adult_mouse_kidney_real_profile_mask_endo/stage3_typematch/stage3_summary.json	result/low_resolution_experiments/adult_mouse_kidney_real_profile_mask_endo/stage1_preprocess/stage1_summary.json=5a32a2e440af7c8f86644c8c3a8368aeff1c9eb8;result/low_resolution_experiments/adult_mouse_kidney_real_profile_mask_endo/stage3_typematch/stage3_summary.json=51d684f3689a0002506798241fb1ce6bcdacce3f	result/real_profile_mask_foundation/adult_mouse_kidney_real_profile_mask_endo/spot_foundation.csv	result/real_profile_mask_foundation/adult_mouse_kidney_real_profile_mask_endo/spot_foundation.csv=11296a7bbf947165d53da420f9c3ff4c1d2a12c2	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/adult_mouse_kidney_real_profile_mask_endo.yaml	PENDING_HUMAN_APPROVAL
bioapp_BCSA2TumB1_CTA_immune_endpoint	CTA biological application	Fig. 5A-I	CTA biological application	CTA01_BCSA2TUMB1	CTA01_BCSA2TUMB1				4,014-cell balanced reference subset and frozen CTA immune endpoint	PARTIAL	Sample, slide, and capture area are confirmed; exact Visium chemistry version remains unresolved.	U008		bioapp_BCSA2TumB1_CTA_immune_endpoint	CTA01_BCSA2TUMB1	CTA biological application	CTA biological application: bioapp_BCSA2TumB1_CTA_immune_endpoint	bioapp_BCSA2TumB1_CTA_immune_endpoint	CTA01_BCSA2TUMB1	CTA01_BCSA2TUMB1	4,014-cell balanced reference subset and frozen CTA immune endpoint		NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	CytoSPACE	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED			visualizations/bioapp_experiment/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_counts.csv.gz;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_metadata.csv	visualizations/bioapp_experiment/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_counts.csv.gz=a6887dbbd2e9b948bdc69c599f2e709052b986ad;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_metadata.csv=a4239b96146c692e13603da67b176e7bc53ac076					REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/cta_metadata_recovery.tsv	PENDING_HUMAN_APPROVAL
cell2location_ST8059051_thalamic_excitatory_reference_missing	detailed Thalamic case	Fig. 4A-E/H	Detailed thalamic-excitatory case	THAL01_ST8059051	THAL01_ST8059051			thalamic excitatory states	reference-dropout copy and marker-region proxy	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cell2location_ST8059051_thalamic_excitatory_reference_missing	THAL01_ST8059051	detailed Thalamic case	Detailed thalamic-excitatory case: cell2location_ST8059051_thalamic_excitatory_reference_missing	cell2location_ST8059051_thalamic_excitatory_reference_missing	THAL01_ST8059051	THAL01_ST8059051	reference dropout: thalamic excitatory states		NOT_RECORDED	true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	42	configs/datasets/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory.yaml	f43e61539da799eff0725f7d3f2a6494688b0a76	data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv;data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv	data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv=2b011deea754b84b7f469cd7d39d28125220e5e9;data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv=87a279157c8223c696d2b2e5d93d9686142df171					REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT01_MEL1	EXT01_MEL1	RES01_ECOTYPER	Endothelial cells			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells	EXT01_MEL1	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells	cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells	EXT01_MEL1	EXT01_MEL1	profile masking: Endothelial cells		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells.yaml	932f3ff13f134c28d6cbc8ea974578a6bf9aefd6	data/raw/cytospace_fig2c_melanoma/berglund2018spatial_ST_mel1_rep2.h5ad;data/raw/cytospace_fig2c_melanoma/GSE72056_melanoma_single_cell_revised_v2.txt	data/raw/cytospace_fig2c_melanoma/berglund2018spatial_ST_mel1_rep2.h5ad=a35437d6cb6ee914700016d42b92235b7b1f190f;data/raw/cytospace_fig2c_melanoma/GSE72056_melanoma_single_cell_revised_v2.txt=a6a07de0baf39dbcb37abaa0c02250b0c157a62d	result/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage3_typematch/stage3_summary.json=b220e019685c173e32ae281ff8a638f53deed3a6	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT02_MEL2	EXT02_MEL2	RES01_ECOTYPER	NK cells			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells	EXT02_MEL2	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells	cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells	EXT02_MEL2	EXT02_MEL2	profile masking: NK cells		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells.yaml	3c4b840e391d63343a017509792050d93cd31161	data/raw/cytospace_fig2d_tme/melanoma_ST_Thrane_legacyST/berglund2018spatial_ST_mel2_rep1.h5ad;data/raw/cytospace_fig2c_melanoma/GSE72056_melanoma_single_cell_revised_v2.txt	data/raw/cytospace_fig2d_tme/melanoma_ST_Thrane_legacyST/berglund2018spatial_ST_mel2_rep1.h5ad=bd08abf67937533982307c7bdfe36fa786b14630;data/raw/cytospace_fig2c_melanoma/GSE72056_melanoma_single_cell_revised_v2.txt=a6a07de0baf39dbcb37abaa0c02250b0c157a62d	result/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage3_typematch/stage3_summary.json=e8223799412b1967678eabd645d7972bc2b8d68b	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT03_BRCA_V1	EXT03_BRCA_V1	RES01_ECOTYPER	T cells			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells	EXT03_BRCA_V1	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells	cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells	EXT03_BRCA_V1	EXT03_BRCA_V1	profile masking: T cells		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells.yaml	bbeb5ddca85d1e3c9e5e45b02f37fa6228f06b12	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv=edece96c9e4482013a2fa8692cf5c254757b5283	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage3_typematch/stage3_summary.json=7e043c789f5878d21761b6a5f68a1537bde9dd28	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT04_BRCA_FFPE	EXT04_BRCA_FFPE	RES01_ECOTYPER	T cells			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells	EXT04_BRCA_FFPE	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells	cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells	EXT04_BRCA_FFPE	EXT04_BRCA_FFPE	profile masking: T cells		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells.yaml	9d10066eb8d3aa057b5e68a3e468af0ba9b8c14d	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv=2e0cfcb126e68b743141cbb5888bb09c1e52920b	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells/stage3_typematch/stage3_summary.json=d502f1c217cd14b573a381e126ae2571a592cd36	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells	real reference dropout	Fig. 4F-G/I	Real reference dropout	RD06_BRCA_FFPE_EPITHELIAL	RD06_BRCA_FFPE_EPITHELIAL			Epithelial cells	project-generated reference-dropout copy	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells	RD06_BRCA_FFPE_EPITHELIAL	real reference dropout	Real reference dropout: cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells	cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells	RD06_BRCA_FFPE_EPITHELIAL	RD06_BRCA_FFPE_EPITHELIAL	reference dropout: Epithelial cells		NOT_RECORDED	true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	42	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv=2e0cfcb126e68b743141cbb5888bb09c1e52920b;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv=95034199642d448efb06c716d300a11e0c8ea3a7	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells/stage3b_st_unsupported/stage3b_summary.json	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells/stage3b_st_unsupported/stage3b_summary.json=30f61fabb74d61e51a56f159ee5ad6da98d69d8b			REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells	real reference dropout	Fig. 4F-G/I	Real reference dropout	RD05_BRCA_FFPE_PLASMA	RD05_BRCA_FFPE_PLASMA	RES02_LIANA_OMNIPATH		Plasma cells	project-generated reference-dropout copy	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells	RD05_BRCA_FFPE_PLASMA	real reference dropout	Real reference dropout: cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells	cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells	RD05_BRCA_FFPE_PLASMA	RD05_BRCA_FFPE_PLASMA	reference dropout: Plasma cells		NOT_RECORDED	true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	42	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv=2e0cfcb126e68b743141cbb5888bb09c1e52920b;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv=95034199642d448efb06c716d300a11e0c8ea3a7	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells/stage3b_st_unsupported/stage3b_summary.json	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells/stage3b_st_unsupported/stage3b_summary.json=1f727d852a531ca426bb7c7a4db39f2fbb5dc167			REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT05_TNBC	EXT05_TNBC	RES01_ECOTYPER	Fibroblasts			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts	EXT05_TNBC	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts	cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts	EXT05_TNBC	EXT05_TNBC	profile masking: Fibroblasts		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts.yaml	c78b49c26ca139530a95c6f83a40be99a9d134d9	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv=a37d55e3de3bc39d07c55519dca2e29a0f7690cc	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json=65276b868e7636246f49c3888081cb37da6d3226	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts.yaml	PENDING_HUMAN_APPROVAL
