record_id	configuration_path	classification	included_in_candidate	candidate_path	sha1	byte_size	linked_figure_or_analysis	evidence	notes
CFG-0001	configs/datasets/adult_mouse_kidney_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/adult_mouse_kidney_real.yaml	4fb13d47aadb6db5753ce3261aafdd101620bab8	1445	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0002	configs/datasets/adult_mouse_kidney_real_profile_mask_endo.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/adult_mouse_kidney_real_profile_mask_endo.yaml	b4329a8ff2880f61fd7c8180dfb23e7467487768	2010	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0003	configs/datasets/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cell2loc_scan_st8059051_sc_missing_thalamic_excitatory.yaml	f43e61539da799eff0725f7d3f2a6494688b0a76	674	Fig. 4A-E/H	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0004	configs/datasets/cytospace_fig2c_melanoma_mel1_rep2.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2c_melanoma_mel1_rep2.yaml	7c1a6f71817d46708eb67c15c53121232f28f230	925	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0005	configs/datasets/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells.yaml	932f3ff13f134c28d6cbc8ea974578a6bf9aefd6	2006	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0006	configs/datasets/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages.yaml	UNRESOLVED	false		de101d00d9467350f2e96746df2e73193f09d73d	1991	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0007	configs/datasets/cytospace_fig2c_melanoma_mel2_rep1.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2c_melanoma_mel2_rep1.yaml	0f116e9b7295b40b9ceac773b113317aeeb72e4c	925	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0008	configs/datasets/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells.yaml	3c4b840e391d63343a017509792050d93cd31161	1997	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0009	configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen.yaml	5c8d885564dd8f891ef25a14ef0db2aa2c4272fc	888	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0010	configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells.yaml	bbeb5ddca85d1e3c9e5e45b02f37fa6228f06b12	1969	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0011	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe.yaml	0be3499fd02cf8e5dc804a8fa12e113eb2d838a3	877	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0012	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells.yaml	9d10066eb8d3aa057b5e68a3e468af0ba9b8c14d	1958	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0013	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells_sc_missing_plasma_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells_sc_missing_plasma_cells.yaml	5425d45bf1f95f7e62149e322e53eef8fc810442	2232	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0014	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	651	Fig. 4F-G/I	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0015	configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	651	Fig. 4F-G/I	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0016	configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen.yaml	588e9a30957a8c506b5d36f44f47472e1f2a48f5	885	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0017	configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts.yaml	c78b49c26ca139530a95c6f83a40be99a9d134d9	1970	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0018	configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	651	Fig. 4F-G/I	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
