record_id	field	task4b1_value	recovered_value	status	local_evidence_path	local_evidence_sha1	official_evidence	evidence_priority	notes
CTA01_BCSA2TUMB1	formal sample ID	BCSA2TumB1	BCSA2TumB1	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	1	Seurat image slot and orig.ident both use BCSA2TumB1.
CTA01_BCSA2TUMB1	provider patient ID	BCSA2	BCSA2	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/README.md	91bddda32971aebb0a868befd00ead3d2c9a89a1	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	5	Official example identifies patient 2 as BCSA2.
CTA01_BCSA2TUMB1	tumor area	TumB1	TumB1	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/README.md	91bddda32971aebb0a868befd00ead3d2c9a89a1	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	5	Official sample key is BCSA2TumB1.
CTA01_BCSA2TUMB1	spatial platform	10x Visium Spatial Gene Expression	10x Visium Spatial Gene Expression	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	Original paper methods.
CTA01_BCSA2TUMB1	assay version		Visium Spatial Gene Expression kit; exact kit/chemistry version not stated	PARTIAL	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	Do not infer a chemistry version from Space Ranger version.
CTA01_BCSA2TUMB1	chemistry			UNRESOLVED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	No exact chemistry label was found in the retained object, official metadata workbook, paper, or repository documentation.
CTA01_BCSA2TUMB1	tissue processing	fresh frozen	OCT-embedded fresh-frozen tissue, 10 micrometre section	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	Original paper methods state OCT embedding and 10 micrometre sections.
CTA01_BCSA2TUMB1	slide serial	UNRESOLVED	V10F24-112	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Official Zenodo spaceranger_output.zip/Visium_metadata.xlsx maps BCSA2 TumB1 to V10F24-112_C1.
CTA01_BCSA2TUMB1	capture area	UNRESOLVED	C1	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Recovered from the same official Visium_metadata.xlsx row; not inferred from TumB1.
CTA01_BCSA2TUMB1	capture format		6.5 mm x 6.5 mm Visium capture area	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	Original paper methods; this is the format, not the capture-area code.
