group,sample,condition,input_kind,path,sha256,source_sample,source_path,source_sha256,same_as_no_noise_source,expected_same_as_source,noise_fraction,noise_seed
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,sc_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells\stage1_preprocess\exported\sc_expression_normalized.csv,5c07ca64ae8834af53e105e250c2852704450fb875e53d0d1fce61a9a8e60fd0,False,False,0.05,42
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,st_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,1b1f3c7f3b61acaa3db7ea2f214143fc862ca3827eaef6281a260619a2cb5503,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells\stage1_preprocess\exported\st_expression_normalized.csv,1b1f3c7f3b61acaa3db7ea2f214143fc862ca3827eaef6281a260619a2cb5503,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,st_coordinates,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_coordinates.csv,8fd06ea566d887c949d1de5a18b3ed68ea332b6be5d2635b99216fde42413f7b,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells\stage1_preprocess\exported\st_coordinates.csv,8fd06ea566d887c949d1de5a18b3ed68ea332b6be5d2635b99216fde42413f7b,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,simulation_truth,V:\data\sim\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\sim_truth_spot_type_fraction.csv,703eca3c0c60e9c8def60083aae278c8a93bf35796edee07074844dec70c08e4,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,V:\data\sim\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells\sim_truth_spot_type_fraction.csv,703eca3c0c60e9c8def60083aae278c8a93bf35796edee07074844dec70c08e4,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,sc_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells\stage1_preprocess\exported\sc_expression_normalized.csv,5c07ca64ae8834af53e105e250c2852704450fb875e53d0d1fce61a9a8e60fd0,False,False,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,st_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,1668ff2ea8a2ac1d6c196c4fedf21a039cc4f15a8aa135898a855bd0f0bc4a40,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells\stage1_preprocess\exported\st_expression_normalized.csv,1668ff2ea8a2ac1d6c196c4fedf21a039cc4f15a8aa135898a855bd0f0bc4a40,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,st_coordinates,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_coordinates.csv,ab86c0d32e1a46a5b45a99d9f492c33748f28c0c9a9393e3a5a9c33007b63ad3,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells\stage1_preprocess\exported\st_coordinates.csv,ab86c0d32e1a46a5b45a99d9f492c33748f28c0c9a9393e3a5a9c33007b63ad3,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,simulation_truth,V:\data\sim\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\sim_truth_spot_type_fraction.csv,eb931c5c1e35c5db3c6ddd3720562b69f47f80623dd1396c3ea16dfa631e224c,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,V:\data\sim\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells\sim_truth_spot_type_fraction.csv,eb931c5c1e35c5db3c6ddd3720562b69f47f80623dd1396c3ea16dfa631e224c,True,True,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,double_missing,sc_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells\stage1_preprocess\exported\sc_expression_normalized.csv,5c07ca64ae8834af53e105e250c2852704450fb875e53d0d1fce61a9a8e60fd0,False,False,0.05,42
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,double_missing,st_expression_normalized,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells\stage1_preprocess\exported\st_expression_normalized.csv,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,True,True,0.05,42
