record_id	audit_path	sha1	byte_size	audit_role	included_in_candidate	notes	candidate_path
AUD-0001	visualizations/manuscript_audits/dataset_provenance_formal_audit/README.md	cd261b4a2df55e1a606c40374a63afa1c81630eb	2013	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0001_README.md
AUD-0002	visualizations/manuscript_audits/dataset_provenance_formal_audit/audit_summary.json	4061ab0857d1f8ba1b97a4b5e83c5b8c58c5a865	2443	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0002_audit_summary.json
AUD-0003	visualizations/manuscript_audits/dataset_provenance_formal_audit/final_decision.md	da00f462ec72a1aaa59df9847ff05e11640f6e64	5974	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0003_final_decision.md
AUD-0004	visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv	7e6aca1bf55d4b341645768b29bc4678d3d1fd42	2524	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0004_accession_type_audit.tsv
AUD-0005	visualizations/manuscript_audits/dataset_provenance_formal_audit/official_source_registry.tsv	d46619dc6fb8bddce30da12d87ccd3aadc36dc76	22794	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0005_official_source_registry.tsv
AUD-0006	visualizations/manuscript_audits/dataset_provenance_formal_audit/unresolved_records.tsv	8f4451291577f869aafa6594f673ed42eeace56b	3386	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0006_unresolved_records.tsv
AUD-0007	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/README.md	2adb81dad4692cfa74c1b1a2cb6b589e787d173c	1190	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0007_README.md
AUD-0008	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/audit_summary.json	ffd4da564c4f150cb214b017adb25dd3cf0ac0cc	1156	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0008_audit_summary.json
AUD-0009	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/final_decision.md	a99d9f3611663ecfba16dbf38827ba38d62bde8b	3607	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0009_final_decision.md
AUD-0010	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_input_file_inventory.tsv	b16637d95a65033f1ead279f34b8671404b045a5	2619	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0010_heca_input_file_inventory.tsv
AUD-0011	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv	51ebaf613f903e929089ab82ece60b79fb50a9a2	5649	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0011_heca_reference_lineage_audit.tsv
AUD-0012	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/cta_metadata_recovery.tsv	658cf655a66c5819a981fe40e5d51fd049229966	7949	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0012_cta_metadata_recovery.tsv
AUD-0013	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv	cc1a52ff67df11986dd96fb4d4b3a105bb8037bc	4569	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0013_vizgen_release_evidence.tsv
AUD-0014	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_sample_file_inventory.tsv	9ddf46440ce89fa30ea01856ac180596638484ba	15417	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0014_vizgen_sample_file_inventory.tsv
AUD-0015	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/unresolved_after_task4b2.tsv	f65e6593570811625a87be5a6217d5b70763ffae	4722	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0015_unresolved_after_task4b2.tsv
AUD-0016	visualizations/manuscript_audits/software_and_nnls_formal_audit/README.md	7d9f36fb856dc496f2d9f19ee0227b5eb202474e	798	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0016_README.md
AUD-0017	visualizations/manuscript_audits/software_and_nnls_formal_audit/audit_summary.json	a0b304f84b5ecee5c500403305e4984f74aed24b	1603	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0017_audit_summary.json
AUD-0018	visualizations/manuscript_audits/software_and_nnls_formal_audit/final_decision.md	4e8f138b7ef34fbe0caafad28eca30b7c07e9f78	2404	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0018_final_decision.md
AUD-0019	visualizations/manuscript_audits/software_and_nnls_formal_audit/python_solver_version_audit.tsv	016cb466353e47ab1c664e7346ff2e161f6901b0	2195	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0019_python_solver_version_audit.tsv
AUD-0020	visualizations/manuscript_audits/software_and_nnls_formal_audit/seurat_version_audit.tsv	b23e2cc8678ae25333c647d1a5fcc5c5924e97d2	3253	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0020_seurat_version_audit.tsv
AUD-0021	visualizations/manuscript_audits/software_and_nnls_formal_audit/stage3b_nnls_implementation_audit.tsv	14e0ae149d4bd6be207d26c6af3e3136422047b0	2361	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0021_stage3b_nnls_implementation_audit.tsv
AUD-0022	visualizations/manuscript_audits/software_and_nnls_formal_audit/stage3b_math_consistency_audit.tsv	b43b6569a2e21cb4c2e3e2cd74375bac503f7cd6	3879	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0022_stage3b_math_consistency_audit.tsv
AUD-0023	visualizations/manuscript_audits/software_and_nnls_formal_audit/unresolved_software_records.tsv	79cf95328c697c81c7036c9053256ecf1dc0dca9	1392	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0023_unresolved_software_records.tsv
AUD-0024	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/README.md	edde551f6ac0abd7b53f8439bd8699f53fb8fccf	2450	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0024_README.md
AUD-0025	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/audit_summary.json	ab8582007fc0db200bae3c2a1052325da0b0a7d7	4593	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0025_audit_summary.json
AUD-0026	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/final_decision.md	661b408c62c3892b6be6aabc9e5a2a071f3ba154	2000	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0026_final_decision.md
AUD-0027	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/backend_decision_by_panel.tsv	28e0d850a7f3931a500b1257d688a8f675ffa803	4384	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0027_backend_decision_by_panel.tsv
AUD-0028	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/formal_fig2_source_value_inventory.tsv	83c628e4995c75858aff28ecd15bfe7e35902e4f	4546	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0028_formal_fig2_source_value_inventory.tsv
AUD-0029	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/formal_source_value_consistency.tsv	ff5b383a3345466372a775a3968d5c5423f860d3	5030	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0029_formal_source_value_consistency.tsv
AUD-0030	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/README.md	da83cf1f0238178d1ff3fe89406782a068dcfa20	2140	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0030_README.md
AUD-0031	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/audit_summary.json	7ad10762c19fec26d459b274b05fc748bef3a721	3017	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0031_audit_summary.json
AUD-0032	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/final_decision.md	86fd5392b7a1b284f122ec0a40b3710fe4a1b129	1887	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0032_final_decision.md
AUD-0033	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/manuscript_manifest_reconciliation.tsv	49d8f04e3e68fa2aefd027c9c87fce784bdf8ded	73381	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0033_manuscript_manifest_reconciliation.tsv
AUD-0034	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/redistribution_classification.tsv	56fb3abe1c479f9e4834d506c17dec59cf05c927	36981	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0034_redistribution_classification.tsv
AUD-0035	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/unresolved_nonblocking_records.tsv	7a5b5157ca8e6fceec1b35fa8656288cdebf517c	3233	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0035_unresolved_nonblocking_records.tsv
AUD-0036	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/validation_checks.tsv	96e3dd97a62634e08a34e647df72692f01855a25	1053	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0036_validation_checks.tsv
AUD-0037	visualizations/bioapp_experiment/fig5b_auprc_formal_audit/README.md	376c3e423da501577c955d8f3b41bd20921822df	1262	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0037_README.md
AUD-0038	visualizations/bioapp_experiment/fig5b_auprc_formal_audit/audit_summary.json	ac200ef7424f6a175b15b9906dbd1fcf00bbe58a	3248	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0038_audit_summary.json
AUD-0039	visualizations/bioapp_experiment/fig5b_auprc_formal_audit/final_decision.md	36c2f3fd0ddb4666e53cc43a69eb2a40a62e1618	6178	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0039_final_decision.md
AUD-0040	visualizations/bioapp_experiment/fig5b_auprc_formal_audit/input_file_hashes.tsv	62d303768e997b614c5c8f5a4e3091733085785a	1921	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0040_input_file_hashes.tsv
AUD-0041	visualizations/bioapp_experiment/fig5b_auprc_formal_audit/value_provenance.tsv	b8efe47c95ee1bac83d0869c2e3886eeaefcdd5b	3106	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0041_value_provenance.tsv
AUD-0042	visualizations/bioapp_experiment/bioapp_coordinate_registration_recovery_audit/bioapp_registration_recovery_summary.json	e17261ab7a4d051c4e68cbd0b78db66294d4d6a7	1293	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0042_bioapp_registration_recovery_summary.json
AUD-0043	visualizations/bioapp_experiment/bioapp_coordinate_registration_recovery_audit/bioapp_registration_recovery_decision.md	a75038b5085ebbf8d25fe15c5550a44e2f622881	1912	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0043_bioapp_registration_recovery_decision.md
AUD-0044	visualizations/bioapp_experiment/bioapp_coordinate_registration_recovery_audit/bioapp_image_slot_scale_factor_audit.csv	e27c28beefab1dd9db3001cf5b10d1b1a7bd3aa1	302	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0044_bioapp_image_slot_scale_factor_audit.csv
AUD-0045	visualizations/bioapp_experiment/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_coordinate_provenance_summary.json	fa2a8edca15f20fbe5e3404a8d272c4c1a1dd68b	1635	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0045_bioapp_v2_6_coordinate_provenance_summary.json
AUD-0046	visualizations/bioapp_experiment/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_coordinate_recovery_decision.md	4581fa9f801848569127095637e5e27d37f97f91	2007	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0046_bioapp_v2_6_coordinate_recovery_decision.md
AUD-0047	visualizations/bioapp_experiment/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_provenance_graph_edges.csv	3bad94ddfdcf8c96e253b22d0915ada78b310a00	2074	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0047_bioapp_v2_6_provenance_graph_edges.csv
AUD-0048	visualizations/bioapp_experiment/bioapp_phase9_final_biological_application_audit_figure_selection_interpretation_boundary_lock/bioapp_phase9_final_audit_summary.json	0a6516e37cafe6f40254c56ba63fa944fdaa3d36	3605	final decision/evidence record	true	Selected consolidated evidence; existing project file remains unchanged.	reproducibility_release/release_candidate_v1.0/audit_summaries/AUD-0048_bioapp_phase9_final_audit_summary.json
