record_id	sample_identifier	file_role	original_filename	local_raw_directory	local_processed_directory	file_path	file_size	file_sha1	provider_checksum	provider_checksum_status	download_url	download_date	evidence_id	redistribution_status	notes
MERS01_BREAST	HumanBreastCancerPatient1	raw cell-by-gene matrix	HumanBreastCancerPatient1_cell_by_gene.csv	data/raw/high/HumanBreastCancerPatient1	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_by_gene.csv	1581268973	a29c0db89e207ac8a81ec53f422219e40ddbbdc5		NOT_PRESERVED	https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanBreastCancerPatient1		E017	PROVIDER_TERMS_FOUND_BUT_AMBIGUOUS	Retained local file; no original archive or provider checksum record was found.
MERS01_BREAST	HumanBreastCancerPatient1	raw cell metadata	HumanBreastCancerPatient1_cell_metadata.csv	data/raw/high/HumanBreastCancerPatient1	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_metadata.csv	99005107	07f13f687f466f8272617d0bda40b52822a9343e		NOT_PRESERVED	https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanBreastCancerPatient1		E018	PROVIDER_TERMS_FOUND_BUT_AMBIGUOUS	Retained local file; no original archive or provider checksum record was found.
MERS01_BREAST	HumanBreastCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanBreastCancerPatient1	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage1_preprocess/exported/sc_metadata.csv	585619	1693965b1996395dfb84ea95cc6abae5310b436b	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E019	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS01_BREAST	HumanBreastCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanBreastCancerPatient1	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage1_preprocess/exported/st_metadata.csv	247505	6c80587f3f94d1f9392736f980803fd07df0c3af	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E020	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS01_BREAST	HumanBreastCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanBreastCancerPatient1	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	data/processed/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage1_preprocess/fig2d_profile_mask_info.json	1943	3103063c4f5e494d435253778140291e1151f406	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E021	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS02_COLON	HumanColonCancerPatient1	raw cell-by-gene matrix	HumanColonCancerPatient1_cell_by_gene.csv	data/raw/high/HumanColonCancerPatient1	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts	data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_by_gene.csv	1500968241	b92cd8c0d52aebd9b94c1d546e2925954d90cca8		NOT_PRESERVED	https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanColonCancerPatient1		E022	PROVIDER_TERMS_FOUND_BUT_AMBIGUOUS	Retained local file; no original archive or provider checksum record was found.
MERS02_COLON	HumanColonCancerPatient1	raw cell metadata	HumanColonCancerPatient1_cell_metadata.csv	data/raw/high/HumanColonCancerPatient1	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts	data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_metadata.csv	94071125	9478341296bb8e19aff017daf3c71667dae410b8		NOT_PRESERVED	https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanColonCancerPatient1		E023	PROVIDER_TERMS_FOUND_BUT_AMBIGUOUS	Retained local file; no original archive or provider checksum record was found.
MERS02_COLON	HumanColonCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanColonCancerPatient1	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage1_preprocess/exported/sc_metadata.csv	578372	239463bfff3057dd05a5de872e73ad149829551f	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E024	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS02_COLON	HumanColonCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanColonCancerPatient1	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage1_preprocess/exported/st_metadata.csv	246812	751896256340a7a3414551f1e371663fbc09503b	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E025	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS02_COLON	HumanColonCancerPatient1	project-generated disjoint split metadata	NOT_APPLICABLE	data/raw/high/HumanColonCancerPatient1	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts	data/processed/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage1_preprocess/fig2d_profile_mask_info.json	1841	19d2c4f6c0368f3555da0806ccff5056b4da9f69	NOT_APPLICABLE	PROJECT_GENERATED	NOT_APPLICABLE	NOT_APPLICABLE	E026	PROJECT_GENERATED_DERIVATIVE_OF_PROVIDER_INPUT	Generated by scripts/build_highres_profile_mask_mapping.py with seed 42 + len(raw_sample); spatial and reference raw_cell IDs have zero overlap.
MERS03_LUNG	HumanLungCancerPatient1	raw cell-by-gene matrix	HumanLungCancerPatient1_cell_by_gene.csv	data/raw/high/HumanLungCancerPatient1	data/processed/highres_humanlungcancerpatient1_profile_mask_plasma_cells	data/raw/high/HumanLungCancerPatient1/HumanLungCancerPatient1_cell_by_gene.csv	782434564	feb56174d264b7c13b994a456e000351f1ef605d		NOT_PRESERVED	https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanLungCancerPatient1		E027	PROVIDER_TERMS_FOUND_BUT_AMBIGUOUS	Retained local file; no original archive or provider checksum record was found.
