file_path,file_type,matched_terms,likely_registration_file,contains_transform_matrix,contains_keypoints,contains_xenium_visium_reference,contains_he_reference,usable_for_recovery,notes
scripts/build_assigned_expression_from_stage1.py,.py,HE|matrix,False,True,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_cytospace_fig2c_profile_mask_sample.py,.py,HE|matrix|scale,False,True,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_cytospace_fig2d_profile_mask_sample.py,.py,HE|scale,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_cytospace_output_from_generic_mapping.py,.py,HE|matrix,False,True,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_fig2e_stage3_profile_mask_benchmark.py,.py,HE|Visium|scale,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_fig2e_stage3_profile_mask_route2_only.py,.py,HE|Visium|scale,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_highres_fig2c_expression_enrichment.py,.py,HE|transform,True,True,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_highres_profile_mask_fig2d_benchmark.py,.py,HE|scale,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_highres_profile_mask_mapping.py,.py,HE|scale,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_human_lung_5loc_three_row_stack.py,.py,HE,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_masked_scenarios_real_stack.py,.py,HE|Visium,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
scripts/build_mouse_brain_refined_three_row_stack.py,.py,HE,False,False,False,False,False,False,"Mentioned registration/alignment terms, but no verified inverse transform from BioApp frozen coordinates to a specific H&E bundle was identified."
